"yearID","lgID","teamID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","salary","RBI","GIDP","IBB","TB","SLG","OBP","OPS","WHIP","BABIP","RC","X1B","uBB","wOBA"
2000,"NL","HOU","HOU","C",4,162,81,72,90,"N","N","N","N",938,5570,1547,289,36,249,673,1129,114,52,83,61,944,865,5.42,8,2,30,4313,1596,234,598,1064,133,149,0.978,"Houston Astros","Enron Field",3056139,107,107,"HOU","HOU","HOU",51289111,900,154,57,2655,0.476660682226212,0.360576170346015,0.837236852572227,1.5260839322977,0.305196332000941,944.113407015858,973,616,0.363194312796209
2000,"AL","KCA","KCR","C",4,162,81,77,85,"N","N","N","N",879,5709,1644,281,27,150,511,840,121,35,48,70,930,876,5.48,10,6,29,4318,1585,239,693,927,102,185,0.983,"Kansas City Royals","Kauffman Stadium",1564847,103,103,"KCR","KCA","KCA",23433000,831,139,28,2429,0.425468558416535,0.347585989271063,0.773054547687599,1.58267716535433,0.311964919607434,841.558681672026,1186,483,0.338982567353407
2000,"NL","LAN","LAD","W",2,162,81,86,76,"N","N","N","N",798,5481,1408,265,28,211,668,1083,95,42,51,46,729,659,4.1,9,11,36,4335,1379,176,600,1154,135,151,0.978,"Los Angeles Dodgers","Dodger Stadium",2880242,94,94,"LAD","LAN","LAN",87924286,756,129,42,2362,0.430943258529465,0.340537944284342,0.771481202813807,1.36955017301038,0.282778171509568,797.44869084404,904,626,0.338205996131528
2000,"NL","MIL","MIL","C",3,163,81,73,89,"N","N","N","N",740,5563,1366,297,25,177,620,1245,72,44,61,49,826,755,4.63,2,7,29,4399,1501,174,728,967,118,187,0.981,"Milwaukee Brewers","County Stadium",1573621,97,98,"MIL","ML4","MIL",36505333,708,126,47,2244,0.403379471508179,0.325282059431114,0.728661530939293,1.52011820868379,0.283770883054893,720.780203784571,867,573,0.320254562920269
2000,"AL","MIN","MIN","C",5,162,81,69,93,"N","N","N","N",748,5615,1516,325,49,116,556,1021,90,45,35,51,880,819,5.14,6,4,35,4298,1634,212,516,1042,102,155,0.983,"Minnesota Twins","Hubert H Humphrey Metrodome",1000760,104,105,"MIN","MIN","MIN",16519500,711,143,31,2287,0.407301869991095,0.336742848010229,0.744044718001324,1.50069799906933,0.309119010819165,767.892399935181,1026,525,0.327067137809187
2000,"NL","MON","WSN","E",4,162,81,67,95,"N","N","N","N",738,5535,1475,310,35,178,476,1048,58,48,29,34,902,812,5.13,4,7,39,4274,1575,181,579,1011,132,151,0.978,"Montreal Expos","Stade Olympique",926272,103,104,"MON","MON","MON",32994333,705,111,53,2389,0.431616982836495,0.325979585116892,0.757596567953387,1.51193261581657,0.298641492056182,775.401597072035,952,423,0.329551569506726
2000,"AL","NYA","NYY","E",1,161,80,87,74,"Y","N","Y","Y",871,5556,1541,294,25,205,631,1007,99,48,57,50,814,753,4.76,9,6,40,4273,1458,177,577,1040,109,132,0.981,"New York Yankees","Yankee Stadium II",3055435,99,98,"NYY","NYA","NYA",92338260,833,134,42,2500,0.44996400287977,0.354146806482364,0.804110809362134,1.42873859115376,0.304050978607192,877.646678519476,1017,589,0.351401151631478
2000,"NL","NYN","NYM","E",2,162,81,94,68,"N","Y","Y","N",807,5486,1445,281,20,198,675,1037,66,46,45,51,738,670,4.16,8,10,49,4350,1398,164,574,1164,118,121,0.98,"New York Mets","Shea Stadium",2820530,96,96,"NYM","NYN","NYN",79509776,761,122,42,2360,0.43018592781626,0.346012466038037,0.776198393854297,1.36,0.289865178986518,812.07596169453,946,633,0.340495575221239
2000,"AL","OAK","OAK","W",1,161,81,91,70,"Y","N","N","N",947,5560,1501,281,23,239,750,1159,40,15,52,44,813,730,4.58,7,11,43,4306,1535,158,615,963,134,164,0.978,"Oakland Athletics","Oakland Coliseum",1603744,96,95,"OAK","OAK","OAK",31971333,908,147,32,2545,0.45773381294964,0.359506712457071,0.817240525406712,1.49790989317232,0.300047551117451,907.891442155309,958,718,0.357940069030436
2000,"NL","PHI","PHI","E",5,162,81,65,97,"N","N","N","N",708,5511,1386,304,40,144,611,1117,102,30,44,37,830,763,4.77,8,6,34,4316,1458,201,640,1123,100,136,0.983,"Philadelphia Phillies","Veterans Stadium",1612769,100,101,"PHI","PHI","PHI",47308000,668,115,40,2202,0.399564507348939,0.32903433822344,0.728598845572379,1.45829471733086,0.289713086074178,718.293694870957,898,571,0.320975174428038
2000,"NL","PIT","PIT","C",5,162,81,69,93,"N","N","N","N",793,5643,1506,320,31,168,564,1032,86,40,66,37,888,795,4.94,5,7,27,4347,1554,163,711,1070,132,169,0.979,"Pittsburgh Pirates","Three Rivers Stadium",1748908,99,100,"PIT","PIT","PIT",28928334,749,133,41,2392,0.423888002835371,0.33851030110935,0.762398303944722,1.56314699792961,0.298660714285714,797.718704688255,987,523,0.334381879087574
2000,"NL","SDN","SDP","W",5,162,81,76,86,"N","N","N","N",752,5560,1413,279,37,157,602,1177,131,53,46,43,815,733,4.52,5,5,46,4378,1443,191,649,1071,141,155,0.977,"San Diego Padres","Qualcomm Stadium",2352443,92,92,"SDP","SDN","SDN",54821000,714,123,50,2237,0.402338129496403,0.329707246840506,0.732045376336908,1.43353129282778,0.294214101663153,731.508438818565,940,552,0.321652959200129
2000,"AL","SEA","SEA","W",2,162,81,91,71,"N","Y","N","N",907,5497,1481,300,26,198,775,1073,122,56,48,61,780,720,4.49,4,10,44,4325,1442,167,634,998,99,176,0.984,"Seattle Mariners","Safeco Field",2914624,95,93,"SEA","SEA","SEA",58915000,869,129,34,2427,0.441513552847007,0.361071932299013,0.80258548514602,1.44,0.299276883601586,872.977040816327,957,741,0.35237119899165
2000,"NL","SFN","SFG","W",1,162,81,97,65,"Y","N","N","N",925,5519,1535,304,44,226,709,1032,79,39,51,66,747,675,4.21,9,15,47,4333,1452,151,623,1076,93,173,0.985,"San Francisco Giants","PacBell Park",3318800,93,92,"SFG","SFN","SFN",53737826,889,131,60,2605,0.472005798151839,0.361702127659574,0.833707925811414,1.43664897299792,0.30251906632771,938.603082851638,961,649,0.36146062052506
2000,"NL","SLN","STL","C",1,162,81,95,67,"Y","N","N","N",887,5478,1481,259,25,235,675,1253,87,51,84,53,771,698,4.38,10,7,37,4301,1403,196,606,1100,111,148,0.981,"St. Louis Cardinals","Busch Stadium II",3336493,102,101,"STL","SLN","SLN",61453863,841,116,33,2495,0.455458196422052,0.356120826709062,0.811579023131114,1.4013020227854,0.308186989859016,874.24345847554,962,642,0.35521336103564
2000,"AL","TBA","TBD","E",5,161,80,69,92,"N","N","N","N",733,5505,1414,253,22,162,558,1022,90,46,51,40,842,773,4.86,10,8,38,4294,1553,198,533,955,118,169,0.981,"Tampa Bay Devil Rays","Tropicana Field",1449673,99,100,"TBD","TBA","TBA",62765129,692,126,25,2197,0.399091734786558,0.328729281767956,0.727821016554513,1.45738239403819,0.287090116945655,714.57760184727,977,533,0.32161364007179
2000,"AL","TEX","TEX","W",4,162,81,71,91,"N","N","N","N",848,5648,1601,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.978,"Texas Rangers","The Ballpark at Arlington",2588401,102,102,"TEX","TEX","TEX",70795921,806,161,39,2520,0.446175637393768,0.351543942992874,0.797719580386642,1.64030790762771,0.310367311454032,882.485549132948,1063,541,0.348397068196303
2000,"AL","TOR","TOR","E",3,162,81,83,79,"N","N","N","N",861,5677,1562,328,21,244,526,1026,89,34,60,34,908,821,5.14,15,4,37,4312,1615,195,560,978,100,176,0.984,"Toronto Blue Jays","Skydome",1705712,103,103,"TOR","TOR","TOR",44838332,826,130,32,2664,0.469261934120134,0.341114816579323,0.810376750699457,1.51321892393321,0.29678000450349,896.732548766726,969,494,0.352665602553871
2001,"AL","ANA","ANA","W",3,162,81,75,87,"N","N","N","N",691,5551,1447,275,26,158,494,1001,116,52,77,53,730,671,4.2,6,1,43,4313,1452,168,525,947,103,142,0.983,"Anaheim Angels","Edison International Field",2000919,101,101,"ANA","ANA","ANA",47535167,662,109,34,2248,0.404972077103225,0.326801619433198,0.731773696536423,1.37514491073499,0.289988751406074,721.814392059553,988,460,0.321662595668458
2001,"NL","ARI","ARI","W",1,162,81,92,70,"Y","N","Y","Y",818,5595,1494,284,35,208,587,1052,71,38,57,36,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148,0.986,"Arizona Diamondbacks","Bank One Ballpark",2736451,108,107,"ARI","ARI","ARI",85082999,776,105,73,2472,0.441823056300268,0.340717131474104,0.782540187774372,1.24206439826444,0.294211850835049,832.130702038175,967,514,0.340295066107707
2001,"NL","ATL","ATL","E",1,162,81,88,74,"Y","N","N","N",729,5498,1432,263,24,174,493,1039,85,46,45,52,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133,0.983,"Atlanta Braves","Turner Field",2823530,103,102,"ATL","ATL","ATL",91936166,696,132,51,2265,0.411967988359403,0.323587385019711,0.735555373379114,1.28650391524643,0.290062255014987,727.77916875313,971,442,0.321328474407818
2001,"AL","BAL","BAL","E",4,162,80,63,98,"N","N","N","N",687,5472,1359,262,24,136,514,989,133,53,77,49,829,744,4.67,10,6,31,4297,1504,194,528,938,125,137,0.979,"Baltimore Orioles","Oriole Park at Camden Yards",3094841,95,96,"BAL","BAL","BAL",67599540,663,121,26,2077,0.379568713450292,0.319044502617801,0.698613216068093,1.41866418431464,0.27820746132848,649.886568660207,937,488,0.309449556358856
2001,"AL","BOS","BOS","E",2,161,81,82,79,"N","N","N","N",772,5605,1493,316,29,198,520,1131,46,35,70,41,745,667,4.15,3,9,48,4344,1412,146,544,1259,113,129,0.981,"Boston Red Sox","Fenway Park II",2625333,102,101,"BOS","BOS","BOS",110035833,739,132,50,2461,0.43907225691347,0.334028223220013,0.773100480133483,1.35082872928177,0.299976835765578,808.815183673469,950,470,0.336938247655997
2001,"AL","CHA","CHW","C",3,162,81,83,79,"N","N","N","N",798,5464,1463,300,29,214,520,998,123,59,52,51,795,725,4.55,8,9,51,4300,1465,181,500,921,118,149,0.981,"Chicago White Sox","Comiskey Park II",1766172,104,103,"CHW","CHA","CHA",65653667,770,128,31,2463,0.450768667642753,0.334319040578282,0.785087708221034,1.37093023255814,0.290262607483151,816.198028074866,920,489,0.341979854689564
2001,"NL","CHN","CHC","C",3,162,81,88,74,"N","N","N","N",777,5406,1409,268,32,194,577,1077,67,36,66,53,701,643,4.03,8,6,41,4311,1357,164,550,1344,109,113,0.982,"Chicago Cubs","Wrigley Field",2779465,95,95,"CHC","CHN","CHN",64715833,748,132,72,2323,0.429707732149464,0.336283185840708,0.765990917990172,1.32707028531663,0.290114613180516,771.097777034932,915,505,0.333320066334992
